strategy,target_coverage,morphology,n,mean_confidence,median_confidence,mean_unknown_score,median_unknown_score,auto_accept_rate,human_review_rate,possible_unknown_rate,low_quality_rate,most_common_known_prediction
confidence_margin_msp_qc,0.9,myelocyte,747,0.8810684497816017,0.9726486206054688,0.11893155021839831,0.02735137939453125,0.35475234270414996,0.0,0.4029451137884873,0.24230254350736277,eosinophil
confidence_margin_msp_qc,0.9,neutrophil_band,687,0.8944785397559448,0.9699159264564514,0.10552146024405522,0.030084073543548584,0.38719068413391555,0.0,0.3406113537117904,0.27219796215429404,neutrophil_segmented
confidence_margin_msp_qc,0.9,normoblast,2071,0.826613033453892,0.8987385630607605,0.17338696654610794,0.1012614369392395,0.07532592950265572,0.0,0.11636890391115404,0.8083051665861902,lymphocyte
confidence_margin_msp_qc,0.9,plasma_cell,1658,0.9002739727065704,0.9752478003501892,0.09972602729342958,0.02475219964981079,0.293124246079614,0.0,0.2991556091676719,0.4077201447527141,lymphocyte
confidence_margin_msp_qc,0.9,promyelocyte,745,0.9241907613789475,0.995337963104248,0.07580923862105247,0.004662036895751953,0.6040268456375839,0.0,0.312751677852349,0.08322147651006712,monocyte
confidence_margin_msp_qc,0.9,promyelocyte_atypical,2033,0.9380974917357858,0.9962848424911499,0.061902508264214194,0.0037151575088500977,0.6586325627151992,0.0004918839153959665,0.22872602065912445,0.11214953271028037,monocyte
confidence_margin_msp_qc,0.9,smudge_cell,988,0.8808320187605344,0.9642190039157867,0.11916798123946556,0.03578099608421326,0.4311740890688259,0.0,0.52834008097166,0.04048582995951417,lymphocyte
confidence_margin_msp_qc,0.8,hairy_cell,3265,0.9127238813257145,0.9850453734397888,0.08727611867428556,0.014954626560211182,0.2539050535987749,0.006738131699846861,0.7084226646248086,0.030934150076569678,lymphocyte
confidence_margin_msp_qc,0.8,lymphocyte_large_granular,1849,0.9866298414069682,0.9998683929443359,0.01337015859303183,0.0001316070556640625,0.740400216333153,0.0016224986479177934,0.23363980530016226,0.024337479718766902,lymphocyte
confidence_margin_msp_qc,0.8,lymphocyte_neoplastic,180,0.9804299950599671,0.9996339380741119,0.01957000494003296,0.0003660619258880615,0.6333333333333333,0.005555555555555556,0.3388888888888889,0.022222222222222223,lymphocyte
confidence_margin_msp_qc,0.8,lymphocyte_reactive,33,0.9254095861406038,0.994728147983551,0.07459041385939627,0.005271852016448975,0.3333333333333333,0.030303030303030304,0.5757575757575758,0.06060606060606061,lymphocyte
confidence_margin_msp_qc,0.8,metamyelocyte,483,0.833648433349641,0.903050422668457,0.16635156665035902,0.09694957733154297,0.06832298136645963,0.004140786749482402,0.5175983436853002,0.40993788819875776,neutrophil_segmented
confidence_margin_msp_qc,0.8,myeloblast,8606,0.9038180809138183,0.9772621691226959,0.0961819190861817,0.022737830877304077,0.20752963049035555,0.004880316058563793,0.7712061352544736,0.01638391819660702,lymphocyte
confidence_margin_msp_qc,0.8,myelocyte,747,0.8810684497816017,0.9726486206054688,0.11893155021839831,0.02735137939453125,0.18072289156626506,0.0,0.5769745649263721,0.24230254350736277,eosinophil
confidence_margin_msp_qc,0.8,neutrophil_band,687,0.8944785397559448,0.9699159264564514,0.10552146024405522,0.030084073543548584,0.18631732168850074,0.002911208151382824,0.5385735080058224,0.27219796215429404,neutrophil_segmented
confidence_margin_msp_qc,0.8,normoblast,2071,0.826613033453892,0.8987385630607605,0.17338696654610794,0.1012614369392395,0.031385803959439885,0.0,0.16030902945436987,0.8083051665861902,lymphocyte
confidence_margin_msp_qc,0.8,plasma_cell,1658,0.9002739727065704,0.9752478003501892,0.09972602729342958,0.02475219964981079,0.11158021712907117,0.0018094089264173703,0.47889022919179736,0.4077201447527141,lymphocyte
confidence_margin_msp_qc,0.8,promyelocyte,745,0.9241907613789475,0.995337963104248,0.07580923862105247,0.004662036895751953,0.3691275167785235,0.0026845637583892616,0.5449664429530201,0.08322147651006712,monocyte
confidence_margin_msp_qc,0.8,promyelocyte_atypical,2033,0.9380974917357858,0.9962848424911499,0.061902508264214194,0.0037151575088500977,0.3782587309394983,0.003935071323167732,0.5056566650270536,0.11214953271028037,monocyte
confidence_margin_msp_qc,0.8,smudge_cell,988,0.8808320187605344,0.9642190039157867,0.11916798123946556,0.03578099608421326,0.18319838056680163,0.003036437246963563,0.7732793522267206,0.04048582995951417,lymphocyte
